subject,method,lambda_stability,band,mean_score,session_std,weight
sub-002,FBCSP-innerLOSO-weighted,0.5,32-36Hz,0.513353280141844,0.013851839538563827,0.05302604650386487
sub-002,FBCSP-innerLOSO-weighted,0.5,36-40Hz,0.5053191489361701,0.005319148936170193,0.03605866616613744
sub-002,Stable-FBCSP-V2,0.5,4-8Hz,0.5592372541148133,0.057285479015973244,0.30765832576831265
sub-002,Stable-FBCSP-V2,0.5,8-12Hz,0.49854717017494865,0.009755264347908054,0.051450734418595274
sub-002,Stable-FBCSP-V2,0.5,12-16Hz,0.4902761353917582,0.00837187133987252,0.035742971451876465
sub-002,Stable-FBCSP-V2,0.5,16-20Hz,0.5332248176769704,0.03373185403689038,0.1541254155845818
sub-002,Stable-FBCSP-V2,0.5,20-24Hz,0.5379606583701325,0.05911049321435775,0.1061159834637496
sub-002,Stable-FBCSP-V2,0.5,24-28Hz,0.5053693295865114,0.00536979854407261,0.07919101727263163
sub-002,Stable-FBCSP-V2,0.5,28-32Hz,0.508036540240518,0.004640859163628687,0.09157310747171521
sub-002,Stable-FBCSP-V2,0.5,32-36Hz,0.513353280141844,0.013851839538563827,0.0950471982958722
sub-002,Stable-FBCSP-V2,0.5,36-40Hz,0.5053191489361701,0.005319148936170193,0.07909524627266523
sub-003,FBCSP-equal,0.5,4-8Hz,0.49964881528046423,0.02164686429967772,1.0
sub-003,FBCSP-equal,0.5,8-12Hz,0.5158843085106384,0.029931037164011437,1.0
sub-003,FBCSP-equal,0.5,12-16Hz,0.5044739952718675,0.014125501991626092,1.0
sub-003,FBCSP-equal,0.5,16-20Hz,0.487502417794971,0.009485191344746832,1.0
sub-003,FBCSP-equal,0.5,20-24Hz,0.4688569202664947,0.04131948007796227,1.0
sub-003,FBCSP-equal,0.5,24-28Hz,0.507587443584784,0.017998509626348434,1.0
sub-003,FBCSP-equal,0.5,28-32Hz,0.5165804991403395,0.030763448464919796,1.0
sub-003,FBCSP-equal,0.5,32-36Hz,0.49248401568880296,0.012081544624044583,1.0
sub-003,FBCSP-equal,0.5,36-40Hz,0.4993439716312057,0.02215068445420251,1.0
sub-003,FBCSP-innerLOSO-weighted,0.5,4-8Hz,0.49964881528046423,0.02164686429967772,0.07822866213720363
sub-003,FBCSP-innerLOSO-weighted,0.5,8-12Hz,0.5158843085106384,0.029931037164011437,0.24804727871473528
sub-003,FBCSP-innerLOSO-weighted,0.5,12-16Hz,0.5044739952718675,0.014125501991626092,0.11023333196969476
sub-003,FBCSP-innerLOSO-weighted,0.5,16-20Hz,0.487502417794971,0.009485191344746832,0.03299304561774116
sub-003,FBCSP-innerLOSO-weighted,0.5,20-24Hz,0.4688569202664947,0.04131948007796227,0.008767184476155106
sub-003,FBCSP-innerLOSO-weighted,0.5,24-28Hz,0.507587443584784,0.017998509626348434,0.13753747137938344
sub-003,FBCSP-innerLOSO-weighted,0.5,28-32Hz,0.5165804991403395,0.030763448464919796,0.2606303374073304
sub-003,FBCSP-innerLOSO-weighted,0.5,32-36Hz,0.49248401568880296,0.012081544624044583,0.047010823246184115
sub-003,FBCSP-innerLOSO-weighted,0.5,36-40Hz,0.4993439716312057,0.02215068445420251,0.0765518650515722
sub-003,Stable-FBCSP-V2,0.5,4-8Hz,0.49964881528046423,0.02164686429967772,0.08252707513962472
sub-003,Stable-FBCSP-V2,0.5,8-12Hz,0.5158843085106384,0.029931037164011437,0.17069003811126304
sub-003,Stable-FBCSP-V2,0.5,12-16Hz,0.5044739952718675,0.014125501991626092,0.171401321247169
sub-003,Stable-FBCSP-V2,0.5,16-20Hz,0.487502417794971,0.009485191344746832,0.06517210707432046
sub-003,Stable-FBCSP-V2,0.5,20-24Hz,0.4688569202664947,0.04131948007796227,0.0033530852592998754
sub-003,Stable-FBCSP-V2,0.5,24-28Hz,0.507587443584784,0.017998509626348434,0.17513418671221273
sub-003,Stable-FBCSP-V2,0.5,28-32Hz,0.5165804991403395,0.030763448464919796,0.17181201405163846
sub-003,Stable-FBCSP-V2,0.5,32-36Hz,0.49248401568880296,0.012081544624044583,0.0812234818665707
sub-003,Stable-FBCSP-V2,0.5,36-40Hz,0.4993439716312057,0.02215068445420251,0.07868669053790099
sub-004,FBCSP-equal,0.5,4-8Hz,0.5350186113028721,0.038159655726935346,1.0
sub-004,FBCSP-equal,0.5,8-12Hz,0.5071420211847952,0.021495880611442312,1.0
sub-004,FBCSP-equal,0.5,12-16Hz,0.4934007807668522,0.027574726167360217,1.0
sub-004,FBCSP-equal,0.5,16-20Hz,0.502553802440638,0.01902658445232546,1.0
sub-004,FBCSP-equal,0.5,20-24Hz,0.4875550473889344,0.023251256157739847,1.0
sub-004,FBCSP-equal,0.5,24-28Hz,0.46780777638751064,0.016228170403434636,1.0
sub-004,FBCSP-equal,0.5,28-32Hz,0.49543110716802574,0.008155160504993762,1.0
sub-004,FBCSP-equal,0.5,32-36Hz,0.4713707285239677,0.031528318365457414,1.0
sub-004,FBCSP-equal,0.5,36-40Hz,0.49490455246580667,0.03225735915109333,1.0
sub-004,FBCSP-innerLOSO-weighted,0.5,4-8Hz,0.5350186113028721,0.038159655726935346,0.5288705872381216
sub-004,FBCSP-innerLOSO-weighted,0.5,8-12Hz,0.5071420211847952,0.021495880611442312,0.11952040489484331
sub-004,FBCSP-innerLOSO-weighted,0.5,12-16Hz,0.4934007807668522,0.027574726167360217,0.057418809014258734
sub-004,FBCSP-innerLOSO-weighted,0.5,16-20Hz,0.502553802440638,0.01902658445232546,0.09356898400003476
sub-004,FBCSP-innerLOSO-weighted,0.5,20-24Hz,0.4875550473889344,0.023251256157739847,0.04203461934323381
sub-004,FBCSP-innerLOSO-weighted,0.5,24-28Hz,0.46780777638751064,0.016228170403434636,0.014657437699001867
sub-004,FBCSP-innerLOSO-weighted,0.5,28-32Hz,0.49543110716802574,0.008155160504993762,0.06398782311323178
sub-004,FBCSP-innerLOSO-weighted,0.5,32-36Hz,0.4713707285239677,0.031528318365457414,0.01772607255835406
sub-004,FBCSP-innerLOSO-weighted,0.5,36-40Hz,0.49490455246580667,0.03225735915109333,0.062215262138920084
sub-004,Stable-FBCSP-V2,0.5,4-8Hz,0.5350186113028721,0.038159655726935346,0.28586089847459734
sub-004,Stable-FBCSP-V2,0.5,8-12Hz,0.5071420211847952,0.021495880611442312,0.16837464248884162
sub-004,Stable-FBCSP-V2,0.5,12-16Hz,0.4934007807668522,0.027574726167360217,0.057032684265257955
sub-004,Stable-FBCSP-V2,0.5,16-20Hz,0.502553802440638,0.01902658445232546,0.15192009109563873
sub-004,Stable-FBCSP-V2,0.5,20-24Hz,0.4875550473889344,0.023251256157739847,0.05353242137356178
sub-004,Stable-FBCSP-V2,0.5,24-28Hz,0.46780777638751064,0.016228170403434636,0.02795160878396283
sub-004,Stable-FBCSP-V2,0.5,28-32Hz,0.49543110716802574,0.008155160504993762,0.19408750215165424
sub-004,Stable-FBCSP-V2,0.5,32-36Hz,0.4713707285239677,0.031528318365457414,0.01402737542676632
sub-004,Stable-FBCSP-V2,0.5,36-40Hz,0.49490455246580667,0.03225735915109333,0.0472127759397192
sub-005,FBCSP-equal,0.5,4-8Hz,0.5518660128251115,0.05361394672900146,1.0
sub-005,FBCSP-equal,0.5,8-12Hz,0.5219803302141084,0.020929347020700886,1.0
sub-005,FBCSP-equal,0.5,12-16Hz,0.48721101545767864,0.028047387201380745,1.0
sub-005,FBCSP-equal,0.5,16-20Hz,0.49174011633638964,0.015805273818268867,1.0
sub-005,FBCSP-equal,0.5,20-24Hz,0.4885012460118182,0.02104784772101578,1.0
sub-005,FBCSP-equal,0.5,24-28Hz,0.5025439407955596,0.0044062347093565355,1.0
sub-005,FBCSP-equal,0.5,28-32Hz,0.5030437194921138,0.03492629858818067,1.0
sub-005,FBCSP-equal,0.5,32-36Hz,0.4883376282983129,0.0474583258656331,1.0
sub-005,FBCSP-equal,0.5,36-40Hz,0.4935294910440279,0.030477489255487746,1.0
sub-005,FBCSP-innerLOSO-weighted,0.5,4-8Hz,0.5518660128251115,0.05361394672900146,0.6130803536891697
sub-005,FBCSP-innerLOSO-weighted,0.5,8-12Hz,0.5219803302141084,0.020929347020700886,0.1386892239414367
sub-005,FBCSP-innerLOSO-weighted,0.5,12-16Hz,0.48721101545767864,0.028047387201380745,0.024608817394538508
sub-005,FBCSP-innerLOSO-weighted,0.5,16-20Hz,0.49174011633638964,0.015805273818268867,0.03082554945077908
sub-005,FBCSP-innerLOSO-weighted,0.5,20-24Hz,0.4885012460118182,0.02104784772101578,0.02623960561694803
sub-005,FBCSP-innerLOSO-weighted,0.5,24-28Hz,0.5025439407955596,0.0044062347093565355,0.052753729442527694
sub-005,FBCSP-innerLOSO-weighted,0.5,28-32Hz,0.5030437194921138,0.03492629858818067,0.054081340766411176
sub-005,FBCSP-innerLOSO-weighted,0.5,32-36Hz,0.4883376282983129,0.0474583258656331,0.026026961376889115
sub-005,FBCSP-innerLOSO-weighted,0.5,36-40Hz,0.4935294910440279,0.030477489255487746,0.03369441832129989
sub-005,Stable-FBCSP-V2,0.5,4-8Hz,0.5518660128251115,0.05361394672900146,0.34184283388780773
sub-005,Stable-FBCSP-V2,0.5,8-12Hz,0.5219803302141084,0.020929347020700886,0.23884177569673412
sub-005,Stable-FBCSP-V2,0.5,12-16Hz,0.48721101545767864,0.028047387201380745,0.03315117236485841
sub-005,Stable-FBCSP-V2,0.5,16-20Hz,0.49174011633638964,0.015805273818268867,0.06335187375714799
sub-005,Stable-FBCSP-V2,0.5,20-24Hz,0.4885012460118182,0.02104784772101578,0.045003803212041275
sub-005,Stable-FBCSP-V2,0.5,24-28Hz,0.5025439407955596,0.0044062347093565355,0.16066058720719661
sub-005,Stable-FBCSP-V2,0.5,28-32Hz,0.5030437194921138,0.03492629858818067,0.057461818916520385
sub-005,Stable-FBCSP-V2,0.5,32-36Hz,0.4883376282983129,0.0474583258656331,0.01794612615316809
sub-005,Stable-FBCSP-V2,0.5,36-40Hz,0.4935294910440279,0.030477489255487746,0.04174000880452547
sub-006,FBCSP-equal,0.5,4-8Hz,0.4891575765751876,0.024612937116848022,1.0
