subject,protocol,method,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-011,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.56,0.56,0.56,0.12
sub-011,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.4787234042553192,0.47551020408163264,0.47390062821245005,-0.04920273348519366
sub-011,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.41,0.41000000000000003,0.40518197398931344,-0.17999999999999994
sub-011,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.71,0.71,0.7097387648883995,0.42000000000000004
sub-011,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.62,0.6200000000000001,0.6186270574066639,0.24
sub-011,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.5,0.5,0.3333333333333333,0.0
sub-012,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.5,0.5,0.4967793880837359,0.0
sub-012,within_session_5fold,CSP-LDA,ses-02,ses-02,91,91,0.5714285714285714,0.5710144927536231,0.5705989110707803,0.14213197969543145
sub-012,within_session_5fold,CSP-LDA,ses-03,ses-03,97,97,0.5360824742268041,0.5361394557823129,0.5360824742268041,0.0722635494155155
sub-012,within_session_5fold,CSP-LDA,ses-04,ses-04,87,87,0.42528735632183906,0.4246031746031746,0.4246031746031746,-0.1507936507936507
sub-012,within_session_5fold,CSP-LDA,ses-05,ses-05,83,83,0.4578313253012048,0.4562647754137116,0.45498321902816286,-0.08607153242221588
sub-012,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.5060240963855421,0.4858156028368794,0.48164508758568164,-0.029029331720592744
sub-012,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.48,0.48,0.4797919167667067,-0.040000000000000036
sub-012,within_session_5fold,FBCSP-LDA,ses-02,ses-02,91,91,0.42857142857142855,0.4285024154589372,0.4285024154589372,-0.14299516908212562
sub-012,within_session_5fold,FBCSP-LDA,ses-03,ses-03,97,97,0.4639175257731959,0.4640731292517007,0.4638605442176871,-0.07182320441988965
sub-012,within_session_5fold,FBCSP-LDA,ses-04,ses-04,87,87,0.45977011494252873,0.4650793650793651,0.4492929292929293,-0.06901960784313732
sub-012,within_session_5fold,FBCSP-LDA,ses-05,ses-05,83,83,0.5060240963855421,0.48906619385342787,0.4869591436755616,-0.02222889756683699
sub-012,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4819277108433735,0.43528368794326244,0.3774638060352346,-0.13989140849568815
sub-013,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.81,0.81,0.8099809980998101,0.62
sub-013,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.5851063829787234,0.5857142857142856,0.5850594227504244,0.17096336499321574
sub-013,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.98,0.98,0.98,0.96
sub-013,within_session_5fold,CSP-LDA,ses-04,ses-04,95,95,0.6105263157894737,0.6111357586512867,0.6105263157894737,0.22182864733230023
sub-013,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.89,0.89,0.8899009108197378,0.78
sub-013,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.56,0.5599999999999999,0.48574100046750823,0.12
sub-013,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.76,0.76,0.76,0.52
sub-013,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.48936170212765956,0.4884353741496599,0.4884353741496599,-0.023129251700680253
sub-013,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.84,0.84,0.84,0.6799999999999999
sub-013,within_session_5fold,FBCSP-LDA,ses-04,ses-04,95,95,0.5684210526315789,0.5696539485359362,0.5682296862875512,0.1388458987397745
sub-013,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.8,0.8,0.7992773986350863,0.6
sub-013,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-014,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.51,0.51,0.5087719298245614,0.020000000000000018
sub-014,within_session_5fold,CSP-LDA,ses-02,ses-02,95,95,0.4631578947368421,0.4627659574468085,0.4622044622044622,-0.07451763140385892
sub-014,within_session_5fold,CSP-LDA,ses-03,ses-03,92,92,0.5,0.49359278595158995,0.4913461538461539,-0.012924844423169102
sub-014,within_session_5fold,CSP-LDA,ses-04,ses-04,92,92,0.532608695652174,0.5340425531914894,0.5312240786823084,0.06786050895381712
sub-014,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.47,0.47000000000000003,0.467390212038991,-0.06000000000000005
sub-014,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.5,0.5,0.4429590017825312,0.0
sub-014,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.58,0.5800000000000001,0.5784825371336813,0.16000000000000003
sub-014,within_session_5fold,FBCSP-LDA,ses-02,ses-02,95,95,0.5368421052631579,0.5370124113475178,0.5367907801418439,0.07399202481169687
sub-014,within_session_5fold,FBCSP-LDA,ses-03,ses-03,92,92,0.4782608695652174,0.4774560987185572,0.4772727272727273,-0.0449597728348321
sub-014,within_session_5fold,FBCSP-LDA,ses-04,ses-04,92,92,0.391304347826087,0.3900709219858156,0.38870431893687707,-0.22027475130270013
sub-014,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.51,0.51,0.5075871771681237,0.020000000000000018
sub-014,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.52,0.52,0.4285714285714286,0.040000000000000036
sub-015,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.52,0.52,0.5198079231692677,0.040000000000000036
sub-015,within_session_5fold,CSP-LDA,ses-02,ses-02,95,95,0.6842105263157895,0.6843971631205674,0.6841755319148937,0.3686309260079752
sub-015,within_session_5fold,CSP-LDA,ses-03,ses-03,85,85,0.4470588235294118,0.4540133779264214,0.4458315993896518,-0.09004092769440653
sub-015,within_session_5fold,CSP-LDA,ses-04,ses-04,95,95,0.6842105263157895,0.6843971631205674,0.6841755319148937,0.3686309260079752
sub-015,within_session_5fold,CSP-LDA,ses-05,ses-05,98,98,0.40816326530612246,0.4091666666666667,0.4071756362119316,-0.18121363258520362
sub-015,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5204081632653061,0.5120833333333333,0.4186545500441752,0.02456586192291399
sub-015,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.47,0.47,0.46994699469946993,-0.06000000000000005
sub-015,within_session_5fold,FBCSP-LDA,ses-02,ses-02,95,95,0.5894736842105263,0.5897606382978724,0.5892916528101098,0.1794019933554818
sub-015,within_session_5fold,FBCSP-LDA,ses-03,ses-03,85,85,0.47058823529411764,0.47380156075808244,0.47058823529411764,-0.05169095408303548
sub-015,within_session_5fold,FBCSP-LDA,ses-04,ses-04,95,95,0.5894736842105263,0.5897606382978724,0.5892916528101098,0.1794019933554818
