subject,protocol,method,lambda_stability,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-015,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-015,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-016,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.4835164835164835,0.49057059961315286,0.46248586150559257,-0.018575851393188847
sub-016,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.4725274725274725,0.48138297872340424,0.4365325077399381,-0.036544850498339
sub-016,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.4835164835164835,0.4934719535783365,0.4376068376068376,-0.012787118162443933
sub-017,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-017,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-017,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-018,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.3710691823899371,0.020000000000000018
sub-018,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.5,0.5,0.37996031746031744,0.0
sub-018,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.3710691823899371,0.020000000000000018
sub-019,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.45161290322580644,0.4772727272727273,0.3111111111111111,-0.043105344182977845
sub-019,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.45161290322580644,0.4772727272727273,0.3111111111111111,-0.043105344182977845
sub-019,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.45161290322580644,0.4772727272727273,0.3111111111111111,-0.043105344182977845
