subject,method,lambda_stability,band,mean_score,session_std,weight
sub-005,FBCSP-discriminative-weighted,0.5,16-20Hz,0.5878713768115942,0.12178734750525647,0.10659224645016616
sub-005,FBCSP-discriminative-weighted,0.5,20-24Hz,0.5848097826086956,0.13049501270174413,0.08881524034032758
sub-005,FBCSP-discriminative-weighted,0.5,24-28Hz,0.574393115942029,0.12623397791643923,0.04774087145800309
sub-005,FBCSP-discriminative-weighted,0.5,28-32Hz,0.5728623188405797,0.1793936371004727,0.04357840015502328
sub-005,FBCSP-discriminative-weighted,0.5,32-36Hz,0.5996014492753623,0.1590305306296176,0.21444476694771522
sub-005,FBCSP-discriminative-weighted,0.5,36-40Hz,0.573088768115942,0.1816102531144942,0.044170477086624804
sub-005,Stable-FBCSP,0.5,4-8Hz,0.6103260869565217,0.04147148677707302,0.6817101685967348
sub-005,Stable-FBCSP,0.5,8-12Hz,0.5496376811594202,0.06860949008558989,0.01347457258325362
sub-005,Stable-FBCSP,0.5,12-16Hz,0.5702989130434784,0.13393389375282852,0.022038068908009446
sub-005,Stable-FBCSP,0.5,16-20Hz,0.5878713768115942,0.12178734750525647,0.07205676139326186
sub-005,Stable-FBCSP,0.5,20-24Hz,0.5848097826086956,0.13049501270174413,0.05440475142437884
sub-005,Stable-FBCSP,0.5,24-28Hz,0.574393115942029,0.12623397791643923,0.03068905059382519
sub-005,Stable-FBCSP,0.5,28-32Hz,0.5728623188405797,0.1793936371004727,0.015348813664048774
sub-005,Stable-FBCSP,0.5,32-36Hz,0.5996014492753623,0.1590305306296176,0.09510589287987836
sub-005,Stable-FBCSP,0.5,36-40Hz,0.573088768115942,0.1816102531144942,0.015171919956609017
sub-006,FBCSP-equal,0.5,4-8Hz,0.5679347826086956,0.10540964452055615,1.0
sub-006,FBCSP-equal,0.5,8-12Hz,0.5835597826086956,0.1218884128682056,1.0
sub-006,FBCSP-equal,0.5,12-16Hz,0.5323822463768115,0.047790455099187744,1.0
sub-006,FBCSP-equal,0.5,16-20Hz,0.5185688405797101,0.050014028041592315,1.0
sub-006,FBCSP-equal,0.5,20-24Hz,0.5441576086956522,0.05221657107135336,1.0
sub-006,FBCSP-equal,0.5,24-28Hz,0.6105072463768115,0.1530140391680603,1.0
sub-006,FBCSP-equal,0.5,28-32Hz,0.6279438405797102,0.17637055272847846,1.0
sub-006,FBCSP-equal,0.5,32-36Hz,0.6005434782608696,0.11488100047945929,1.0
sub-006,FBCSP-equal,0.5,36-40Hz,0.6286231884057971,0.17005963662624884,1.0
sub-006,FBCSP-discriminative-weighted,0.5,4-8Hz,0.5679347826086956,0.10540964452055615,0.05392715638623446
