subject,method,lambda_stability,band,mean_score,session_std,weight
sub-005,FBCSP-equal,1.0,12-16Hz,0.5702989130434784,0.13393389375282852,1.0
sub-005,FBCSP-equal,1.0,16-20Hz,0.5878713768115942,0.12178734750525647,1.0
sub-005,FBCSP-equal,1.0,20-24Hz,0.5848097826086956,0.13049501270174413,1.0
sub-005,FBCSP-equal,1.0,24-28Hz,0.574393115942029,0.12623397791643923,1.0
sub-005,FBCSP-equal,1.0,28-32Hz,0.5728623188405797,0.1793936371004727,1.0
sub-005,FBCSP-equal,1.0,32-36Hz,0.5996014492753623,0.1590305306296176,1.0
sub-005,FBCSP-equal,1.0,36-40Hz,0.573088768115942,0.1816102531144942,1.0
sub-005,FBCSP-discriminative-weighted,1.0,4-8Hz,0.6103260869565217,0.04147148677707302,0.406334131691281
sub-005,FBCSP-discriminative-weighted,1.0,8-12Hz,0.5496376811594202,0.06860949008558989,0.010919100097866515
sub-005,FBCSP-discriminative-weighted,1.0,12-16Hz,0.5702989130434784,0.13393389375282852,0.03740476577299227
sub-005,FBCSP-discriminative-weighted,1.0,16-20Hz,0.5878713768115942,0.12178734750525647,0.10659224645016616
sub-005,FBCSP-discriminative-weighted,1.0,20-24Hz,0.5848097826086956,0.13049501270174413,0.08881524034032758
sub-005,FBCSP-discriminative-weighted,1.0,24-28Hz,0.574393115942029,0.12623397791643923,0.04774087145800309
sub-005,FBCSP-discriminative-weighted,1.0,28-32Hz,0.5728623188405797,0.1793936371004727,0.04357840015502328
sub-005,FBCSP-discriminative-weighted,1.0,32-36Hz,0.5996014492753623,0.1590305306296176,0.21444476694771522
sub-005,FBCSP-discriminative-weighted,1.0,36-40Hz,0.573088768115942,0.1816102531144942,0.044170477086624804
sub-005,Stable-FBCSP,1.0,4-8Hz,0.6103260869565217,0.04147148677707302,0.8613029199501498
sub-005,Stable-FBCSP,1.0,8-12Hz,0.5496376811594202,0.06860949008558989,0.01252226322102704
sub-005,Stable-FBCSP,1.0,12-16Hz,0.5702989130434784,0.13393389375282852,0.009778220204241272
sub-005,Stable-FBCSP,1.0,16-20Hz,0.5878713768115942,0.12178734750525647,0.03668288986415558
sub-005,Stable-FBCSP,1.0,20-24Hz,0.5848097826086956,0.13049501270174413,0.02509723312685887
sub-005,Stable-FBCSP,1.0,24-28Hz,0.574393115942029,0.12623397791643923,0.014856490976983217
sub-005,Stable-FBCSP,1.0,28-32Hz,0.5728623188405797,0.1793936371004727,0.004071158628728999
sub-005,Stable-FBCSP,1.0,32-36Hz,0.5996014492753623,0.1590305306296176,0.03176428479496123
sub-005,Stable-FBCSP,1.0,36-40Hz,0.573088768115942,0.1816102531144942,0.003924539232893766
sub-006,FBCSP-equal,1.0,4-8Hz,0.5679347826086956,0.10540964452055615,1.0
sub-006,FBCSP-equal,1.0,8-12Hz,0.5835597826086956,0.1218884128682056,1.0
sub-006,FBCSP-equal,1.0,12-16Hz,0.5323822463768115,0.047790455099187744,1.0
sub-006,FBCSP-equal,1.0,16-20Hz,0.5185688405797101,0.050014028041592315,1.0
sub-006,FBCSP-equal,1.0,20-24Hz,0.5441576086956522,0.05221657107135336,1.0
sub-006,FBCSP-equal,1.0,24-28Hz,0.6105072463768115,0.1530140391680603,1.0
sub-006,FBCSP-equal,1.0,28-32Hz,0.6279438405797102,0.17637055272847846,1.0
sub-006,FBCSP-equal,1.0,32-36Hz,0.6005434782608696,0.11488100047945929,1.0
sub-006,FBCSP-equal,1.0,36-40Hz,0.6286231884057971,0.17005963662624884,1.0
sub-006,FBCSP-discriminative-weighted,1.0,4-8Hz,0.5679347826086956,0.10540964452055615,0.05392715638623446
sub-006,FBCSP-discriminative-weighted,1.0,8-12Hz,0.5835597826086956,0.1218884128682056,0.08073157393696676
sub-006,FBCSP-discriminative-weighted,1.0,12-16Hz,0.5323822463768115,0.047790455099187744,0.02153190019708757
sub-006,FBCSP-discriminative-weighted,1.0,16-20Hz,0.5185688405797101,0.050014028041592315,0.015071749404943564
sub-006,FBCSP-discriminative-weighted,1.0,20-24Hz,0.5441576086956522,0.05221657107135336,0.029183958244767706
sub-006,FBCSP-discriminative-weighted,1.0,24-28Hz,0.6105072463768115,0.1530140391680603,0.1619055940757442
sub-006,FBCSP-discriminative-weighted,1.0,28-32Hz,0.6279438405797102,0.17637055272847846,0.2539890300191872
sub-006,FBCSP-discriminative-weighted,1.0,32-36Hz,0.6005434782608696,0.11488100047945929,0.12517489134756132
sub-006,FBCSP-discriminative-weighted,1.0,36-40Hz,0.6286231884057971,0.17005963662624884,0.25848414638750733
sub-006,Stable-FBCSP,1.0,4-8Hz,0.5679347826086956,0.10540964452055615,0.0888480912143029
sub-006,Stable-FBCSP,1.0,8-12Hz,0.5835597826086956,0.1218884128682056,0.09445295627080316
sub-006,Stable-FBCSP,1.0,12-16Hz,0.5323822463768115,0.047790455099187744,0.11742289123379601
sub-006,Stable-FBCSP,1.0,16-20Hz,0.5185688405797101,0.050014028041592315,0.07848260432290126
sub-006,Stable-FBCSP,1.0,20-24Hz,0.5441576086956522,0.05221657107135336,0.14517204502885767
sub-006,Stable-FBCSP,1.0,24-28Hz,0.6105072463768115,0.1530140391680603,0.0992257203601229
sub-006,Stable-FBCSP,1.0,28-32Hz,0.6279438405797102,0.17637055272847846,0.09582065943003097
sub-006,Stable-FBCSP,1.0,32-36Hz,0.6005434782608696,0.11488100047945929,0.16939826460158133
sub-006,Stable-FBCSP,1.0,36-40Hz,0.6286231884057971,0.17005963662624884,0.1111767675376039
sub-007,FBCSP-equal,1.0,4-8Hz,0.5017210144927536,0.052862017735133916,1.0
sub-007,FBCSP-equal,1.0,8-12Hz,0.541268115942029,0.02551864349297363,1.0
sub-007,FBCSP-equal,1.0,12-16Hz,0.49939311594202895,0.06025323850936493,1.0
sub-007,FBCSP-equal,1.0,16-20Hz,0.530625,0.03063775244694037,1.0
sub-007,FBCSP-equal,1.0,20-24Hz,0.524981884057971,0.03046441686143023,1.0
sub-007,FBCSP-equal,1.0,24-28Hz,0.551911231884058,0.031472009904852986,1.0
sub-007,FBCSP-equal,1.0,28-32Hz,0.46439311594202903,0.0668054703359571,1.0
sub-007,FBCSP-equal,1.0,32-36Hz,0.4915126811594203,0.05567584211737523,1.0
sub-007,FBCSP-equal,1.0,36-40Hz,0.5571557971014494,0.027524567275757587,1.0
sub-007,FBCSP-discriminative-weighted,1.0,4-8Hz,0.5017210144927536,0.052862017735133916,0.0415698801440039
sub-007,FBCSP-discriminative-weighted,1.0,8-12Hz,0.541268115942029,0.02551864349297363,0.1618353392103118
sub-007,FBCSP-discriminative-weighted,1.0,12-16Hz,0.49939311594202895,0.06025323850936493,0.03837352557016597
sub-007,FBCSP-discriminative-weighted,1.0,16-20Hz,0.530625,0.03063775244694037,0.11225618974078783
sub-007,FBCSP-discriminative-weighted,1.0,20-24Hz,0.524981884057971,0.03046441686143023,0.0924653614734113
sub-007,FBCSP-discriminative-weighted,1.0,24-28Hz,0.551911231884058,0.031472009904852986,0.23331165148036828
sub-007,FBCSP-discriminative-weighted,1.0,28-32Hz,0.46439311594202903,0.0668054703359571,0.011524147847885604
sub-007,FBCSP-discriminative-weighted,1.0,32-36Hz,0.4915126811594203,0.05567584211737523,0.029268834718484876
sub-007,FBCSP-discriminative-weighted,1.0,36-40Hz,0.5571557971014494,0.027524567275757587,0.27939506981458045
sub-007,Stable-FBCSP,1.0,4-8Hz,0.5017210144927536,0.052862017735133916,0.00955937918150423
sub-007,Stable-FBCSP,1.0,8-12Hz,0.541268115942029,0.02551864349297363,0.22229160682653368
sub-007,Stable-FBCSP,1.0,12-16Hz,0.49939311594202895,0.06025323850936493,0.0054433640335566375
sub-007,Stable-FBCSP,1.0,16-20Hz,0.530625,0.03063775244694037,0.11034264763619246
sub-007,Stable-FBCSP,1.0,20-24Hz,0.524981884057971,0.03046441686143023,0.09192479453355533
sub-007,Stable-FBCSP,1.0,24-28Hz,0.551911231884058,0.031472009904852986,0.21716377920540217
sub-007,Stable-FBCSP,1.0,28-32Hz,0.46439311594202903,0.0668054703359571,0.0010652357022467459
sub-007,Stable-FBCSP,1.0,32-36Hz,0.4915126811594203,0.05567584211737523,0.0055998973548699125
sub-007,Stable-FBCSP,1.0,36-40Hz,0.5571557971014494,0.027524567275757587,0.3366092955261387
sub-008,FBCSP-equal,1.0,4-8Hz,0.5403186758893281,0.03223490728926571,1.0
sub-008,FBCSP-equal,1.0,8-12Hz,0.5079850131752306,0.02446521810479769,1.0
sub-008,FBCSP-equal,1.0,12-16Hz,0.5527033926218708,0.06666785477737085,1.0
sub-008,FBCSP-equal,1.0,16-20Hz,0.535336791831357,0.0589434257603272,1.0
sub-008,FBCSP-equal,1.0,20-24Hz,0.49908679183135707,0.07296756595549782,1.0
sub-008,FBCSP-equal,1.0,24-28Hz,0.4871516798418972,0.02229860985440163,1.0
sub-008,FBCSP-equal,1.0,28-32Hz,0.5589319828722003,0.1080457149877327,1.0
sub-008,FBCSP-equal,1.0,32-36Hz,0.5746368577075098,0.0968286109294767,1.0
sub-008,FBCSP-equal,1.0,36-40Hz,0.574834486166008,0.05906618844579056,1.0
sub-008,FBCSP-discriminative-weighted,1.0,4-8Hz,0.5403186758893281,0.03223490728926571,0.08222643575962926
sub-008,FBCSP-discriminative-weighted,1.0,8-12Hz,0.5079850131752306,0.02446521810479769,0.028449750355449832
sub-008,FBCSP-discriminative-weighted,1.0,12-16Hz,0.5527033926218708,0.06666785477737085,0.12347015048523936
sub-008,FBCSP-discriminative-weighted,1.0,16-20Hz,0.535336791831357,0.0589434257603272,0.06982197734776048
sub-008,FBCSP-discriminative-weighted,1.0,20-24Hz,0.49908679183135707,0.07296756595549782,0.02124367918687768
sub-008,FBCSP-discriminative-weighted,1.0,24-28Hz,0.4871516798418972,0.02229860985440163,0.014357822145633073
sub-008,FBCSP-discriminative-weighted,1.0,28-32Hz,0.5589319828722003,0.1080457149877327,0.15147945628944287
sub-008,FBCSP-discriminative-weighted,1.0,32-36Hz,0.5746368577075098,0.0968286109294767,0.25364996832596554
sub-008,FBCSP-discriminative-weighted,1.0,36-40Hz,0.574834486166008,0.05906618844579056,0.2553007601040018
sub-008,Stable-FBCSP,1.0,4-8Hz,0.5403186758893281,0.03223490728926571,0.23755490558011577
sub-008,Stable-FBCSP,1.0,8-12Hz,0.5079850131752306,0.02446521810479769,0.10790360524013014
sub-008,Stable-FBCSP,1.0,12-16Hz,0.5527033926218708,0.06666785477737085,0.10677396269518678
sub-008,Stable-FBCSP,1.0,16-20Hz,0.535336791831357,0.0589434257603272,0.07914289182394783
sub-008,Stable-FBCSP,1.0,20-24Hz,0.49908679183135707,0.07296756595549782,0.014733021411913379
sub-008,Stable-FBCSP,1.0,24-28Hz,0.4871516798418972,0.02229860985440163,0.058750014781666596
sub-008,Stable-FBCSP,1.0,28-32Hz,0.5589319828722003,0.1080457149877327,0.030743324544831918
sub-008,Stable-FBCSP,1.0,32-36Hz,0.5746368577075098,0.0968286109294767,0.07625783298910509
sub-008,Stable-FBCSP,1.0,36-40Hz,0.574834486166008,0.05906618844579056,0.2881404409331025
sub-009,FBCSP-equal,1.0,4-8Hz,0.4897373188405797,0.04667988166223895,1.0
sub-009,FBCSP-equal,1.0,8-12Hz,0.49140398550724634,0.05903763639764827,1.0
sub-009,FBCSP-equal,1.0,12-16Hz,0.4715670289855072,0.06222572339931239,1.0
sub-009,FBCSP-equal,1.0,16-20Hz,0.4371467391304347,0.048313620247969695,1.0
sub-009,FBCSP-equal,1.0,20-24Hz,0.4960144927536232,0.03781879823163263,1.0
sub-009,FBCSP-equal,1.0,24-28Hz,0.47834239130434775,0.10029621107641824,1.0
sub-009,FBCSP-equal,1.0,28-32Hz,0.5147282608695652,0.10920017421325005,1.0
sub-009,FBCSP-equal,1.0,32-36Hz,0.4242844202898551,0.0577412701532166,1.0
sub-009,FBCSP-equal,1.0,36-40Hz,0.49991847826086955,0.05972780961771224,1.0
sub-009,FBCSP-discriminative-weighted,1.0,4-8Hz,0.4897373188405797,0.04667988166223895,0.11589307102428
sub-009,FBCSP-discriminative-weighted,1.0,8-12Hz,0.49140398550724634,0.05903763639764827,0.12299518862067907
sub-009,FBCSP-discriminative-weighted,1.0,12-16Hz,0.4715670289855072,0.06222572339931239,0.060596454686023545
sub-009,FBCSP-discriminative-weighted,1.0,16-20Hz,0.4371467391304347,0.048313620247969695,0.01774140897225886
sub-009,FBCSP-discriminative-weighted,1.0,20-24Hz,0.4960144927536232,0.03781879823163263,0.14499184177806038
sub-009,FBCSP-discriminative-weighted,1.0,24-28Hz,0.47834239130434775,0.10029621107641824,0.07717105360067932
sub-009,FBCSP-discriminative-weighted,1.0,28-32Hz,0.5147282608695652,0.10920017421325005,0.28273323395660366
sub-009,FBCSP-discriminative-weighted,1.0,32-36Hz,0.4242844202898551,0.0577412701532166,0.011210961510248108
sub-009,FBCSP-discriminative-weighted,1.0,36-40Hz,0.49991847826086955,0.05972780961771224,0.16666678585116707
sub-009,Stable-FBCSP,1.0,4-8Hz,0.4897373188405797,0.04667988166223895,0.2015871284983901
sub-009,Stable-FBCSP,1.0,8-12Hz,0.49140398550724634,0.05903763639764827,0.12439326244126325
sub-009,Stable-FBCSP,1.0,12-16Hz,0.4715670289855072,0.06222572339931239,0.05328462368472847
sub-009,Stable-FBCSP,1.0,16-20Hz,0.4371467391304347,0.048313620247969695,0.02872499474481732
sub-009,Stable-FBCSP,1.0,20-24Hz,0.4960144927536232,0.03781879823163263,0.37205819537192725
sub-009,Stable-FBCSP,1.0,24-28Hz,0.47834239130434775,0.10029621107641824,0.012767788147824496
sub-009,Stable-FBCSP,1.0,28-32Hz,0.5147282608695652,0.10920017421325005,0.03164892600715208
sub-009,Stable-FBCSP,1.0,32-36Hz,0.4242844202898551,0.0577412701532166,0.01200206319510251
sub-009,Stable-FBCSP,1.0,36-40Hz,0.49991847826086955,0.05972780961771224,0.16353301790879457
sub-010,FBCSP-equal,1.0,4-8Hz,0.5112145915678524,0.023404182052697065,1.0
sub-010,FBCSP-equal,1.0,8-12Hz,0.5219762845849802,0.033655099448423625,1.0
sub-010,FBCSP-equal,1.0,12-16Hz,0.4914048089591568,0.03411826738728123,1.0
sub-010,FBCSP-equal,1.0,16-20Hz,0.4842078392621871,0.033395193454903396,1.0
sub-010,FBCSP-equal,1.0,20-24Hz,0.49038619894598157,0.04116873139805335,1.0
sub-010,FBCSP-equal,1.0,24-28Hz,0.5217679512516469,0.03674623852578237,1.0
sub-010,FBCSP-equal,1.0,28-32Hz,0.5051959815546772,0.045381924233401434,1.0
sub-010,FBCSP-equal,1.0,32-36Hz,0.5157979249011858,0.06776432635215658,1.0
sub-010,FBCSP-equal,1.0,36-40Hz,0.4733563899868248,0.05500989503125372,1.0
sub-010,FBCSP-discriminative-weighted,1.0,4-8Hz,0.5112145915678524,0.023404182052697065,0.12974762049491784
sub-010,FBCSP-discriminative-weighted,1.0,8-12Hz,0.5219762845849802,0.033655099448423625,0.24881157654441252
sub-010,FBCSP-discriminative-weighted,1.0,12-16Hz,0.4914048089591568,0.03411826738728123,0.03913660915046936
sub-010,FBCSP-discriminative-weighted,1.0,16-20Hz,0.4842078392621871,0.033395193454903396,0.025320814332561573
sub-010,FBCSP-discriminative-weighted,1.0,20-24Hz,0.49038619894598157,0.04116873139805335,0.03679751478240709
sub-010,FBCSP-discriminative-weighted,1.0,24-28Hz,0.5217679512516469,0.03674623852578237,0.24569508895150527
sub-010,FBCSP-discriminative-weighted,1.0,28-32Hz,0.5051959815546772,0.045381924233401434,0.09014800477263529
sub-010,FBCSP-discriminative-weighted,1.0,32-36Hz,0.5157979249011858,0.06776432635215658,0.17121025076631285
sub-010,FBCSP-discriminative-weighted,1.0,36-40Hz,0.4733563899868248,0.05500989503125372,0.013132520204778255
sub-010,Stable-FBCSP,1.0,4-8Hz,0.5112145915678524,0.023404182052697065,0.33846506794599784
sub-010,Stable-FBCSP,1.0,8-12Hz,0.5219762845849802,0.033655099448423625,0.28685215540510905
sub-010,Stable-FBCSP,1.0,12-16Hz,0.4914048089591568,0.03411826738728123,0.04348581320772654
sub-010,Stable-FBCSP,1.0,16-20Hz,0.4842078392621871,0.033395193454903396,0.0298027651500957
sub-010,Stable-FBCSP,1.0,20-24Hz,0.49038619894598157,0.04116873139805335,0.023317100402308374
sub-010,Stable-FBCSP,1.0,24-28Hz,0.5217679512516469,0.03674623852578237,0.22143544052287142
